Observation id	stamp.fairtex_kai.ting.chuang							
								
Media file(s)								
								
Player #1	/Users/heverz/Desktop/ONE Full Fight  Stamp Fairtex vs. Kai Ting Chuang  A Champion Is Born  October 2018.mp4							
								
Observation date	2019-06-03 23:49:18							
								
Description	06102018_kingdom.of.heros_super.series.kickboxing.atomweight.world.championship_title_atsushi.onari							
								
Time offset (s)	0.000							
								
independent variables								
variable	value							
								
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
703.241	/Users/heverz/Desktop/ONE Full Fight  Stamp Fairtex vs. Kai Ting Chuang  A Champion Is Born  October 2018.mp4	1410.100	25.0		r3			POINT
773.245	/Users/heverz/Desktop/ONE Full Fight  Stamp Fairtex vs. Kai Ting Chuang  A Champion Is Born  October 2018.mp4	1410.100	25.0		r4			POINT
793.246	/Users/heverz/Desktop/ONE Full Fight  Stamp Fairtex vs. Kai Ting Chuang  A Champion Is Born  October 2018.mp4	1410.100	25.0		stall			START
796.996	/Users/heverz/Desktop/ONE Full Fight  Stamp Fairtex vs. Kai Ting Chuang  A Champion Is Born  October 2018.mp4	1410.100	25.0		stall			STOP
813.744	/Users/heverz/Desktop/ONE Full Fight  Stamp Fairtex vs. Kai Ting Chuang  A Champion Is Born  October 2018.mp4	1410.100	25.0		stall			START
820.246	/Users/heverz/Desktop/ONE Full Fight  Stamp Fairtex vs. Kai Ting Chuang  A Champion Is Born  October 2018.mp4	1410.100	25.0		stall			STOP
880.491	/Users/heverz/Desktop/ONE Full Fight  Stamp Fairtex vs. Kai Ting Chuang  A Champion Is Born  October 2018.mp4	1410.100	25.0		stall			START
884.745	/Users/heverz/Desktop/ONE Full Fight  Stamp Fairtex vs. Kai Ting Chuang  A Champion Is Born  October 2018.mp4	1410.100	25.0		stall			STOP
914.493	/Users/heverz/Desktop/ONE Full Fight  Stamp Fairtex vs. Kai Ting Chuang  A Champion Is Born  October 2018.mp4	1410.100	25.0		stall			START
918.495	/Users/heverz/Desktop/ONE Full Fight  Stamp Fairtex vs. Kai Ting Chuang  A Champion Is Born  October 2018.mp4	1410.100	25.0		stall			STOP
924.496	/Users/heverz/Desktop/ONE Full Fight  Stamp Fairtex vs. Kai Ting Chuang  A Champion Is Born  October 2018.mp4	1410.100	25.0		stall			START
929.495	/Users/heverz/Desktop/ONE Full Fight  Stamp Fairtex vs. Kai Ting Chuang  A Champion Is Born  October 2018.mp4	1410.100	25.0		stall			STOP
936.997	/Users/heverz/Desktop/ONE Full Fight  Stamp Fairtex vs. Kai Ting Chuang  A Champion Is Born  October 2018.mp4	1410.100	25.0		stall			START
939.993	/Users/heverz/Desktop/ONE Full Fight  Stamp Fairtex vs. Kai Ting Chuang  A Champion Is Born  October 2018.mp4	1410.100	25.0		stall			STOP
946.995	/Users/heverz/Desktop/ONE Full Fight  Stamp Fairtex vs. Kai Ting Chuang  A Champion Is Born  October 2018.mp4	1410.100	25.0		stall			START
951.994	/Users/heverz/Desktop/ONE Full Fight  Stamp Fairtex vs. Kai Ting Chuang  A Champion Is Born  October 2018.mp4	1410.100	25.0		stall			STOP
953.747	/Users/heverz/Desktop/ONE Full Fight  Stamp Fairtex vs. Kai Ting Chuang  A Champion Is Born  October 2018.mp4	1410.100	25.0		r4			POINT
1029.963	/Users/heverz/Desktop/ONE Full Fight  Stamp Fairtex vs. Kai Ting Chuang  A Champion Is Born  October 2018.mp4	1410.100	25.0		r5			POINT
1048.715	/Users/heverz/Desktop/ONE Full Fight  Stamp Fairtex vs. Kai Ting Chuang  A Champion Is Born  October 2018.mp4	1410.100	25.0		stall			START
1065.465	/Users/heverz/Desktop/ONE Full Fight  Stamp Fairtex vs. Kai Ting Chuang  A Champion Is Born  October 2018.mp4	1410.100	25.0		stall			STOP
1090.965	/Users/heverz/Desktop/ONE Full Fight  Stamp Fairtex vs. Kai Ting Chuang  A Champion Is Born  October 2018.mp4	1410.100	25.0		stall			START
1093.965	/Users/heverz/Desktop/ONE Full Fight  Stamp Fairtex vs. Kai Ting Chuang  A Champion Is Born  October 2018.mp4	1410.100	25.0		stall			STOP
1103.544	/Users/heverz/Desktop/ONE Full Fight  Stamp Fairtex vs. Kai Ting Chuang  A Champion Is Born  October 2018.mp4	1410.100	25.0		stall			START
