Observation id	petchmorakot_petchindee_accademy.giorgio_petrosyan									
										
Media file(s)										
										
Player #1	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov									
										
Observation date	2019-05-17 14:55:38									
										
Description	quarter of final of Kickboxing World Grand Prix. Singapore. 									
										
Time offset (s)	0.000									
										
independent variables										
variable	value									
										
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Modifier 1	Modifier 2	Comment	Status
420.969	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		knee_middle	knees	None	landed		POINT
421.917	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		knee_middle	knees	back	landed		POINT
426.478	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		straight_high	punches	None	None		POINT
427.938	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		straight_high	punches	None	None		POINT
428.418	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		straight_high	punches	back	None		POINT
429.417	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		knee_middle	knees	back	None		POINT
432.196	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		knee_middle	knees	back	landed		POINT
439.417	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		straight_high	punches	None	None		POINT
441.671	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		straight_high	punches	None	None		POINT
441.917	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		straight_high	punches	None	None		POINT
443.668	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		knee_middle	knees	back	landed		POINT
445.417	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		hook_high	punches	None	None		POINT
449.688	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		knee_middle	knees	None	landed		POINT
459.188	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		straight_high	punches	None	None		POINT
459.938	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		straight_high	punches	None	None		POINT
460.441	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		hook_high	punches	back	landed		POINT
461.937	/Volumes/BackUp/Quarter/petchmorakot_petrosyan.mov	889.520	60.0		straight_high	punches	None	None		POINT
